Last name,First name,MI/name,Regiment,Company,Place of birth,Enlistment date,Enlistment location,Residence,Age,Occupation,Marital status,Complexion,Wounded,Died in service,Muster out date,Sign name,Substitue,Substitute for,Box,Folder,Notes
Adams,James,,29,I.,Maryland,1/4/1864,Bridgeport,,24,Laborer,,Black,,,,false,false,,1,1,
Adams,Henry,A.,29,,France,12/15/1863,New Haven,Orange,32,Seaman,,Black,,,,false,false,,1,1,
Adams,Henry,E.,29,,"Torringford, Connecticut",12/24/1863,Hartford,New Hartford,18,Farmer,Unmarried,Black,,,,true,false,,1,1,
Abbott,Wesley,,29,,"Madison County, Virginia",6/13/1864,New Haven,Orange,19,Farmer,,Black,,,,false,false,,1,1,
Adams,James,B.,29,F.,"Torringford, Connecticut",12/24/1863,Hartford,New Hartford,20,Farmer,Unmarried,Black,,,,true,false,,1,1,
Adams,John,H.,29,H.,"Baltimore, Maryland",1/2/1864,New Haven,,32,Turner,,Black,,,,true,false,,1,1,
Adams,Joseph,,29,,Florida,12/16/1864,Bridgeport,,20,Waiter,Single,Black,,,,true,false,,1,1,
Adams,Lewis,,29,,New Jersey,1/15/1864,Norwich,,18,Farmer,,Colored,,,,false,false,,1,1,
Alderman,John,,29,E.,"Trinadad, West Indies",12/19/1863,Hartford,Suffield,19,Waiter,Unmarried,Black,,,,true,false,,1,1,
Antone,Isaac,H.,29,,Connecticut,8/30/1864,Norwich,,18,Farmer,,Colored,,,,false,true,Jessie Y. Hull of Stonington,1,1,
Addison,John,S.,29,E.,"Salisbury, Connecticut",12/23/1863,Bridgeport,,18,Laborer,Single,Black,,,,true,false,,1,1,
Addison,Rufus,,29,A.,"Washington, D.C.",12/3/1863,New Haven,Orange,18,Waiter,Single,Black,,,,false,false,,1,1,
Alexander,Joseph,,29,A.,"Fairfield, Connecticut",2/22/1864,Bridgeport,,22,Farmer,,Black,,,,false,false,,1,1,
Alexander,Lawson,,29,I.,"Washington, D.C.",1/5/1864,New Haven,Hamden,33,Laborer,,Black,,,,false,false,,1,1,
Alexander,Squire,,29,,"Newberne, North Carolina",6/3/1864,New Haven,Middletown,21,Waiter,,Black,,,,false,false,,1,1,
Allen,David,,31,,New Providence,12/14/1864,Hartford,,28,Cook,,Black,,,,true,true,Jason G. Marble of Hartford,1,1,
Allen,James,,29,K.,"Pike County, Georgia",1/8/1864,Norwich,,20,Farmer,,Colored,,,,false,false,,1,1,
Allman [Almon],Thornton,,29,,Virginia,8/10/1864,Norwich,,22,Sailor,,Colored,,,,false,true,Jonathan S. Clark of East Lyme,1,1,
Anderson,George,,29,,New York,11/7/1864,Hartford,Canton,23,Tailor,Unmarried,Brown,,,,false,false,,1,1,
Anderson,John,E.,29,,New Jersey,1/21/1864,Norwich,,43,Laborer,,Colored,,,,true,false,,1,1,
Anderson,William,,29,,New Brunswick [Canada],1/8/1864,Hartford,Mansfield,24,Farmer,Unmarried,Black,,,,false,false,,1,1,
Andrus,Braddock,,29,,Louisiana,8/6/1864,Hartford,,22,Servant,,Black,,,,false,true,Franklin W. Beckley of New Britain,1,1,
Anderson,Theodore,,29,,"Pittsburg, Pennsylvania",12/24/1863,Hartford,East Windsor,41,Farmer,Married,Black,,,,false,false,,1,1,
Andrews,Francis,H.,29,E.,St. Helena,12/21/1863,New Haven,,23,Sailor,,Black,,,,false,false,,1,1,
Andrews,William,E.,29,A.,"Moosup, Connecticut",12/3/1863,Norwich,,20,Farmer,,Colored,,,,false,false,,1,1,
Addison,David,E.,29,A.,"Salisbury, Connecticut",12/30/1863,New Haven,,24,Farmer,,Black,,,,true,false,,1,1,
Antasio,Castillo,,29,,South America,2/25/1864,Bridgeport,,26,Waiter,,Black,,,,false,false,,1,1,
Anthony,Fleetwood,,29,I.,"Albany, New York",1/4/1864,New Haven,,18,Slater,,Black,,,,true,false,,1,1,
Anthony,James,Y.,29,I.,"New York, New York",12/14/1863,Bridgeport,,18,Laborer,,Black,,,,false,false,,1,1,
Anthony,Richard,,29,F.,"Jenco, New York",12/19/1863,Norwich,,18,Farmer,,Colored,,,,false,false,,1,1,
Antone,Henry,,30,E.,"Boston, Massachusetts",2/23/1864,New London,Union,18,Marrines,Single,Dark,,,,false,false,,1,1,
,Apdola,,29,,China,1/22/1864,Norwich,,26,Sailor,,Colored,,,,true,false,,1,1,
Apes,Gad,W.,29,F.,"Colchester, Connecticut",2/27/1864,Hartford,,21,Laborer,,Black,,,,true,false,,1,1,
Archy,William,,29,C.,L. A. [Louisiana],12/11/1863,Hartford,Wethersfield,18,Farmer,Unmarried,Black,,,,false,false,,1,1,
Armstrong,George,,30,D.,Cataraugus [New York],2/15/1864,Bridgeport,,24,Farmer,Single,Black,,,,false,false,,1,1,
Armstrong,William,,29,B.,"Danbury, Connecticut",11/27/1863,Bridgeport,,45,Farmer,Married,Black,,,,false,false,,1,1,
Arnum,Walter,A.,29,B.,"Granby, Connecticut",12/7/1863,Bridgeport,,44,Farmer,,Black,,,,true,false,,1,1,
Arthur,Anthony,,29,,North Carolina,12/19/1864,Hartford,Hebron,27,Seaman,Unmarried,Black,,,,false,false,,1,1,
Aray,Charles,B.,29,F.,"Peekskill, New York",12/22/1863,Bridgeport,,22,Butcher,,Black,,,,true,false,,1,1,
Ashley,John,H.,29,F.,New York,12/21/1863,New Haven,,18,Farmer,,Black,,,,true,false,,1,1,
August,John,,31,,South America,11/30/1864,New Haven,,23,Cook,,Black,,,,false,true,Meyer Kahn of New Haven,1,1,
Avery,William,,29,K.,Connecticut,1/5/1864,Bridgeport,,41,Laborer,Married,Black,,,,false,false,,1,1,
Babcock,Mark,D.,30,,"Hopkinton, Rhode Island",3/19/1864,New Haven,Portland,43,Farmer,,Dark,,,,true,false,,1,2,
Babcock,Robin,,29,,"Preston, Connecticut",12/5/1863,Norwich,,27,Farmer,,Colored,,,,false,false,,1,2,
Bagdon,Augustus,,29,C.,"Bethany, Connecticut",12/9/1863,Hartford,Bethany,42,Farmer,Married,Black,,,,true,false,,1,2,
Bailey,Albert,,29,A.,"New Orleans, Louisiana",2/23/1864,Hartford,Hartford,22,Farmer,Unmarried,Black,,,,false,false,,1,2,
Bailey,John,,29,G.,"Pelleville, New Jersey",12/24/1863,Bridgeport,,29,Laborer,Married,Black,,,,false,false,,1,2,
Bailey,Robert,M.,29,H.,"St. Marys, Georgia",12/29/1863,New Haven,Middletown,27,Barber,,Yellow,,,,true,false,,1,2,
Baker,Charles,,30,D.,North Carolina,2/22/1864,Bridgeport,,24,Laborer,Married,Black,,,,false,false,,1,2,
Baker,Elijah,,29,K.,"Scipio, New York",1/9/1864,Hartford,Stafford,27,Laborer,Married,Black,,,,false,false,,1,2,
Baker,William,,30,C.,"Salem, Connecticut",1/16/1864,New London,Salem,19,Farmer,,Dark,,,,false,false,,1,2,
Baldwin,George,,29,F.,"Easton, Connecticut",12/21/1863,Hartford,Enfield,18,Farmer,,Black,,,,true,false,,1,2,
Banks,Allen,,29,G.,"North Castle, New York",1/5/1864,Bridgeport,,34,Laborer,Married,Black,,,,false,false,,1,2,
Banks,John,,30,D.,East Indies,2/4/1864,Bridgeport,,21,Laborer,Single,Black,,,,true,false,,1,2,
Banks,John,,29,A.,"New Castle, New York",12/1/1863,New Haven,Greenwich,34,Farmer,Married,Black,,,,false,false,,1,2,
Barker,Joseph,,29,,New York,1/18/1865,Bridgeport,,23,Sailor,Single,Black,,,,false,false,,1,2,
Banks,William,,29,,Tennessee,4/20/1864,Bridgeport,,22,Blacksmith,Married,Black,,,,false,false,,1,2,
Banks,Willy,,29,B.,"Yorktown, New York",11/28/1863,Bridgeport,,19,Hostler,,Black,,,,false,false,,1,2,
Barber,Samuel,N.,30,B.,"Hebron, Connecticut",12/30/1863,Hartford,Vernon,38,Farmer,Married,Black,,,,false,false,,1,2,
Barker,Emmett,,30,D.,"Greenwich, Connecticut",1/27/1864,Bridgeport,,20,Laborer,Single,Black,,,,false,false,,1,2,
Barnes,Charles,,29,C.,"Coswell, Virginia",12/2/1863,Hartford,Wethersfield,18,Farmer,,Black,,,,false,false,,1,2,
Barnes,Joseph,,30,F.,"Knox County, Kentucky",3/8/1864,New London,Norwich,39,Mechanic,Single,Black,,,,false,false,,1,2,
Barry,Francis,,30,C.,"Chicago, Illinois",1/25/1864,New Haven,Guilford,22,Stone Cutter,,Black,,,,true,false,,1,2,
Barry,Sidney,,29,F.,"Nassau County, Virginia",12/22/1863,Hartford,Hartford,19,Farmer,Unmarried,Black,,,,false,false,,1,2,
Barton,Alexander,,29,I.,"Kinderhook, New York",1/2/1863,Hartford,Vernon,25,Farmer,Unmarried,Black,,,,true,false,,1,2,
Batten,Andrew,,29,I.,"St. George, Delaware",1/5/ 1864,New Haven,East Haddam,47,Laborer,,Black,,,,false,false,,1,2,
Batty,John,,30,B.,"New Orleans, Louisiana",1/1/1864,New London,East Lyme,19,Waiter,,Dark,,,,false,false,,1,2,
Baylis,William,,29,B.,"Brigharton, New York",12/8/1863,New Haven,,19,Hack Driver,Not Married,Black,,,,false,false,,1,2,
Beatty,Garrett,S.,29,A.,"Newburgh, New York",11/24/1863,New Haven,,18,Shoemaker,,Dark,,,,false,false,,1,2,
Beardsley,William,A.,29,A.,"New Haven, Connecticut",11/30/1863,New Haven,,18,Hostler,,Black,,,,false,false,,1,2,
Beckit,Charles,,31,,North Carolina,12/9/1864,Norwich,,21,Sailor,,Colored,,,,false,true,John E. Webster of Killingly,1,2,
Beckett,Harry,,29,,Pennsylvania,1/4/1865,New Haven,Seymour,21,Farmer,Single,Black,,,,false,false,,1,2,
Beldo,George,,29,,Virginia,12/6/1864,Bridgeport,,19,Laborer,,Black,,,,false,false,,1,2,
